Year,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1981,38246,36699,33203,32860,28347,24740,34654,33839,29428,29568,33272
1982,37048,34794,32327,33035,28506,24912,34021,33106,29055,28501,32942
1983,37431,34497,32674,32879,28748,25358,33919,33567,29634,29155,32904
1984,37688,34579,33459,34052,29394,26334,35219,34565,31074,30051,33295
1985,39448,35419,34691,35271,30486,27263,37103,35851,31485,31158,34024
1986,39103,35773,35346,35691,31296,28093,37651,36758,31675,31943,34870
1987,39837,36721,35991,36067,32136,29110,38077,37501,32773,32300,35053
1988,40781,37694,36873,36392,33320,30563,39069,38382,33937,33065,35353
1989,41666,38432,37357,36923,33664,31240,38795,38746,34299,33433,35964
1990,42022,38858,37501,37415,34444,31552,38971,38632,34992,33452,36790
1991,40901,38608,36996,36881,34396,31242,38166,38136,33954,32993,36369
1992,40667,38817,37046,36794,34692,31543,38392,38093,33911,33236,35875
1993,40723,38822,37098,36903,35558,31419,38869,38035,33954,33322,36369
1994,40664,38862,37321,37044,35550,31919,38901,38312,34037,33768,36542
1995,40656,38512,37424,37541,35853,32418,38977,38427,34544,33905,37111
1996,40890,38861,37630,37695,36143,32615,38942,38291,35288,34481,37611
1997,42451,39343,38530,38769,36712,33572,39483,39267,36152,35257,38451
1998,43185,39547,39177,39329,38170,35716,40739,39938,37198,35722,39195
1999,43875,40111,40211,39977,39481,37350,41942,41207,39265,36672,39894
2000,45482,41127,41393,40781,40212,38990,42585,42419,40561,37758,41155
2001,46460,41710,42036,41366,40642,40274,42941,42781,41511,38677,42066
2002,47326,42806,43053,42349,41768,41674,44335,43666,42014,39756,43345
2003,48019,43672,43853,43121,42344,42815,45125,44361,43122,40697,44216
2004,49279,44660,44639,43900,43264,43089,45753,45128,43917,41249,44736
2005,51204,45766,45623,44718,44319,44033,46807,46035,46127,41804,45917
2006,53391,47465,46889,45579,45704,45405,47951,47159,47338,42644,47449
2007,55271,49382,48236,47328,47379,48794,49661,48065,48274,43755,49515
2008,55956,50169,49243,49003,48911,49417,51093,49149,49268,44548,51305
2009,54609,49676,49064,49050,49152,51173,51379,48947,49770,44762,51513
2010,55781,50523,50083,49686,50353,52273,52431,50047,50804,45713,52264
2011,57140,51195,50593,50786,50310,52906,53413,50331,50651,46012,52733
2012,57826,51438,50831,51377,50273,53435,54140,50400,50435,46132,53246
2013,58401,51717,51145,51601,50690,54027,54543,50642,50718,46452,53610
2014,58729,51976,51661,51670,51063,54250,55158,51308,50903,47005,53911
2015,58422,53074,52337,51837,51844,55039,55685,52397,51348,47319,54245
2016,58219,53742,52792,51738,52442,55105,55799,52940,51542,48102,54019
2017,59267,55158,53865,52556,53589,55467,56675,54053,51540,49088,54550
2018,59804,56063,54586,52917,54288,56249,57163,54846,51759,49737,55094
2019,59029,56169,54552,52909,54777,57223,57233,54666,51702,50101,55167
2020,55543,54500,51736,50736,53755,55736,55204,50935,49905,48018,52613
2021,57279,57960,54211,53279,55507,59138,57701,53187,52707,50693,55367
